"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"811","BT","AI-G",8e-06,0,0,0,0,0
"911","BT","AI-G",9e-06,0,0,0,0,0
"1011","BT","AI-G",1e-05,0,0,0,0,0
"1111","BT","AI-G",2e-05,0,0,0,0,0
"1211","BT","AI-G",3e-05,0,0,0,0,0
"1311","BT","AI-G",4e-05,0,0,0,0,0
"1411","BT","AI-G",5e-05,0,0,0,0,0
"1511","BT","AI-G",6e-05,0,0,0,0,0
"1611","BT","AI-G",7e-05,0,0,0,0,0
"1711","BT","AI-G",8e-05,0,0,0,0,0
"1811","BT","AI-G",9e-05,0,0,0,0,0
"1911","BT","AI-G",1e-04,0,0,0,0,0
"2011","BT","AI-G",2e-04,0,0,0,0,0
"2111","BT","AI-G",3e-04,0,0,0,0,0
"2211","BT","AI-G",4e-04,0,0,0,0,0
"2311","BT","AI-G",5e-04,0,0,0,0,0
"2411","BT","AI-G",6e-04,0,0,0,0,0
"2511","BT","AI-G",7e-04,0,0,0,0,0
"2611","BT","AI-G",8e-04,0,0,0,0,0
"2711","BT","AI-G",9e-04,0,0,0,0,0
"2811","BT","AI-G",0.001,0,0,0,0,0
"2911","BT","AI-G",0.002,0,0,0,0,0
"3011","BT","AI-G",0.003,0,0,0,0,0
"3111","BT","AI-G",0.004,0,0,0,0,1
"3211","BT","AI-G",0.005,0,0,0,0,1
"3311","BT","AI-G",0.006,0,0,0,0,1
"3411","BT","AI-G",0.007,0,0,0,0,1
"3511","BT","AI-G",0.008,0,0,0,0,1
