"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1465","sp|Q9NSD9|SYFB_HUMAN",492402.189448913,471848.81106756,559876.675066706,596724.817185042,393606.324915404,384218.209556463,460617.731067371,508775.282781158,522768.519553794,574835.625060306,442326.739027937,554407.09870407,565844.808282223,"0.15798940988277"
"1466","sp|Q6IBS0|TWF2_HUMAN",466328.433196898,441498.489645462,604937.668236365,417279.591186389,429259.019343865,440597.028524879,319089.370356797,373340.841693642,621715.496870771,383497.890269623,408227.133760494,608510.007013237,636608.466280223,"0.193560875897635"
"1467","sp|O15173|PGRC2_HUMAN",828054.18341454,716575.375496917,727737.721856733,789487.950384864,1049534.40155443,953469.004887933,657542.02464432,1090802.3783895,1210572.66244031,1787794.19275578,1954263.23569014,989795.199041704,966573.623563373,"0.989618891625049"
"1468","sp|P29992|GNA11_HUMAN;sp|O95837|GNA14_HUMAN;sp|P50148|GNAQ_HUMAN",1131178.14937443,1174321.42238799,1768675.94654041,2007266.7814901,977111.735826737,889711.122905531,2040866.06990678,405812.350762931,353493.50943108,491462.814441892,496279.013552523,341377.114947137,358586.553091065,"0.420915991607325"
"1469","sp|Q96TC7|RMD3_HUMAN",913591.971098274,903741.807821119,696955.538979171,816498.146296351,514808.135394768,557507.376596221,489398.521832217,813206.178305382,762924.594903308,408614.898269024,461844.313733222,531773.826416853,566277.083891868,"0.642877607016662"
"1470","sp|P29466|CASP1_HUMAN;sp|Q5EG05|CAR16_HUMAN",298473.975415808,273259.648243615,218492.668843518,125667.868161181,372996.186027948,355136.395906067,199733.880365858,306593.645735652,349259.176946863,365218.456971119,290306.061155205,234019.635476543,226447.934568768,"0.965087513878489"
"1471","sp|P02462|CO4A1_HUMAN;sp|P29400|CO4A5_HUMAN",2224587.46795992,1863805.80370139,3822704.80408553,3570848.72814064,3254382.04310195,3659008.02545233,2749389.95626709,1608179.89552668,1515532.86849564,2513341.38733304,2852926.06394068,1350743.89994789,1261025.92817848,"0.243847507961389"
"1472","sp|P08185|CBG_HUMAN",173698.093554699,200068.489570075,400094.614517014,318443.780225659,419519.240148619,584957.977577189,343566.70278037,105589.854377486,124772.325749688,260035.557566453,243302.840862991,136628.94831973,147991.333247744,"0.61181250435611"
"1473","sp|P20618|PSB1_HUMAN",2407828.96932455,1941630.64140604,1369649.29774906,1017282.64327127,1715991.93116591,1217733.06247926,1596290.42384313,1110754.65365676,1111964.3670132,1088469.03917335,1157205.33661498,1544841.43365103,1765437.06680236,"0.601991795761312"
"1474","sp|Q6IAA8|LTOR1_HUMAN",1105418.35942062,1013849.42617953,1056068.95432449,612144.645841155,1060351.82126801,1255776.24823282,501940.203211551,1970294.97062729,1976877.46944279,1204745.61886508,1269180.16895122,901264.569821435,904374.254171604,"0.775970461487645"
"1475","sp|Q9NRV9|HEBP1_HUMAN",850043.683341529,808226.148764009,666474.616917573,700980.75481427,689176.692282009,554481.874424236,853053.108807659,273525.249620323,307776.215781334,222794.118327624,232384.022642001,280828.223742825,286126.322104056,"0.536353880799626"
"1476","sp|Q14134|TRI29_HUMAN",31543.3145533488,32065.6137718705,69246.9890456728,55371.8863770819,59595.6079503774,36963.5824779597,84501.2916409969,189760.065508921,223173.075857415,141530.133041204,153464.382851525,160868.999067441,165847.922289354,"0.420883877121392"
"1477","sp|Q66K74|MAP1S_HUMAN",406212.691014683,334957.764981148,235070.29444651,217821.271386108,240771.954689869,210529.808454998,128989.672933426,256156.411636433,280365.8683229,346194.516004363,450623.36649399,273007.851455552,281218.040250227,"0.0558838950215662"
"1478","sp|Q99598|TSNAX_HUMAN",97653.5383311544,82168.0097795539,72055.7824998389,56200.8609738926,520072.733240984,367363.462824419,173729.610669231,639933.82597991,486354.894148039,310025.345785014,294922.689054698,666859.810391757,721944.992099246,"0.114980084698434"
"1479","sp|Q08AF3|SLFN5_HUMAN;sp|Q7Z7L1|SLN11_HUMAN;sp|Q68D06|SLN13_HUMAN",219531.697066401,255674.624371197,197004.438716476,271961.692382319,343143.859509519,369116.894181176,144277.265550878,234214.110695593,218697.092712506,353207.272240973,440434.542793388,181220.622419602,194882.574956336,"0.722309774459281"
"1480","sp|O95793|STAU1_HUMAN",91741.1845595741,102685.688272509,115244.645662126,130042.219109215,126949.170132222,107412.151485474,127619.595494114,200456.494517604,185963.499432523,170263.876781783,168484.060524685,112739.710424408,115087.388719413,"0.690415292143992"
"1481","sp|P43246|MSH2_HUMAN",52741.6958257119,106797.228917158,123984.824512202,98150.6998294166,78358.2226910161,66108.9102797316,47673.4853983014,302082.191843503,293311.356877751,154638.488118229,156991.608398576,142723.074373582,137703.037367393,"0.369340204326119"
"1482","sp|Q92520|FAM3C_HUMAN",24602.5165989598,30817.2511615922,15983.3497208014,14585.3684615297,56687.9492492698,83292.4757472701,15245.7452688052,156113.937561495,164049.594883966,134390.304199973,140668.587817518,114129.931554585,150168.521984975,"0.497889198318582"
